image_url_1,choice_1_1,choice_1_2,choice_1_3,choice_1_4,image_url_2,choice_2_1,choice_2_2,choice_2_3,choice_2_4,image_url_3,choice_3_1,choice_3_2,choice_3_3,choice_3_4,image_url_4,choice_4_1,choice_4_2,choice_4_3,choice_4_4,image_url_5,choice_5_1,choice_5_2,choice_5_3,choice_5_4,image_url_6,choice_6_1,choice_6_2,choice_6_3,choice_6_4,image_url_7,choice_7_1,choice_7_2,choice_7_3,choice_7_4,image_url_8,choice_8_1,choice_8_2,choice_8_3,choice_8_4,image_url_9,choice_9_1,choice_9_2,choice_9_3,choice_9_4,image_url_10,choice_10_1,choice_10_2,choice_10_3,choice_10_4
train/n02123394/images/n02123394_260.JPEG,scoreboard,Christmas stocking,gasmask,hourglass,train/n04465501/images/n04465501_197.JPEG,gasmask,bannister,scorpion,snail,train/n03544143/images/n03544143_243.JPEG,tailed frog,gasmask,torch,scoreboard,train/n04251144/images/n04251144_464.JPEG,Persian cat,tabby,gazelle,snail,train/n03544143/images/n03544143_302.JPEG,triumphal arch,tractor,hourglass,Persian cat,train/n03544143/images/n03544143_430.JPEG,American lobster,hourglass,Christmas stocking,torch,train/n02795169/images/n02795169_374.JPEG,American lobster,snorkel,tailed frog,bannister,train/n01770393/images/n01770393_425.JPEG,hourglass,triumphal arch,gasmask,scorpion,train/n01983481/images/n01983481_335.JPEG,snail,hourglass,tailed frog,scorpion,train/n01944390/images/n01944390_211.JPEG,Persian cat,gasmask,iPod,snorkel
train/n03026506/images/n03026506_338.JPEG,scoreboard,bannister,chimpanzee,American lobster,train/n01644900/images/n01644900_52.JPEG,torch,tabby,scorpion,chimpanzee,train/n01770393/images/n01770393_469.JPEG,tabby,suspension bridge,chimpanzee,American lobster,train/n01983481/images/n01983481_433.JPEG,snorkel,tabby,barrel,scoreboard,train/n04149813/images/n04149813_252.JPEG,gasmask,chimpanzee,American lobster,triumphal arch,train/n02481823/images/n02481823_293.JPEG,tabby,snorkel,Christmas stocking,torch,train/n04465501/images/n04465501_375.JPEG,tabby,gasmask,iPod,scorpion,train/n02123045/images/n02123045_123.JPEG,tailed frog,Persian cat,tabby,bannister,train/n02423022/images/n02423022_497.JPEG,snorkel,tailed frog,gasmask,gazelle,train/n04149813/images/n04149813_282.JPEG,tailed frog,hourglass,American lobster,scoreboard
train/n02123394/images/n02123394_31.JPEG,torch,tractor,iPod,scorpion,train/n01770393/images/n01770393_279.JPEG,iPod,torch,triumphal arch,Persian cat,train/n01644900/images/n01644900_75.JPEG,American lobster,tabby,barrel,torch,train/n04486054/images/n04486054_499.JPEG,Persian cat,gazelle,iPod,chimpanzee,train/n03026506/images/n03026506_366.JPEG,torch,scoreboard,Christmas stocking,bannister,train/n04456115/images/n04456115_457.JPEG,snorkel,torch,scoreboard,scorpion,train/n01983481/images/n01983481_140.JPEG,gasmask,snorkel,bannister,chimpanzee,train/n04366367/images/n04366367_81.JPEG,iPod,scoreboard,American lobster,suspension bridge,train/n04456115/images/n04456115_499.JPEG,snorkel,torch,Christmas stocking,barrel,train/n01770393/images/n01770393_474.JPEG,scorpion,bannister,tabby,gasmask
train/n02123394/images/n02123394_469.JPEG,gazelle,Christmas stocking,American lobster,triumphal arch,train/n02423022/images/n02423022_110.JPEG,Persian cat,chimpanzee,iPod,gazelle,train/n04149813/images/n04149813_118.JPEG,triumphal arch,gazelle,scoreboard,Christmas stocking,train/n01644900/images/n01644900_399.JPEG,bannister,Christmas stocking,chimpanzee,tabby,train/n03544143/images/n03544143_205.JPEG,torch,bannister,suspension bridge,hourglass,train/n02123394/images/n02123394_46.JPEG,snorkel,scorpion,scoreboard,suspension bridge,train/n03544143/images/n03544143_161.JPEG,hourglass,scoreboard,scorpion,bannister,train/n03424325/images/n03424325_119.JPEG,tabby,Persian cat,triumphal arch,gasmask,train/n04465501/images/n04465501_199.JPEG,suspension bridge,hourglass,scoreboard,Persian cat,train/n02795169/images/n02795169_212.JPEG,torch,hourglass,suspension bridge,triumphal arch
train/n03424325/images/n03424325_35.JPEG,Christmas stocking,scorpion,gasmask,snail,train/n04465501/images/n04465501_301.JPEG,gazelle,iPod,Christmas stocking,tabby,train/n02423022/images/n02423022_262.JPEG,triumphal arch,gazelle,suspension bridge,hourglass,train/n03544143/images/n03544143_248.JPEG,hourglass,snorkel,barrel,tailed frog,train/n03424325/images/n03424325_314.JPEG,barrel,torch,Christmas stocking,scorpion,train/n04456115/images/n04456115_390.JPEG,torch,Christmas stocking,snail,barrel,train/n02788148/images/n02788148_75.JPEG,triumphal arch,scorpion,gazelle,suspension bridge,train/n02788148/images/n02788148_237.JPEG,gasmask,American lobster,snail,tailed frog,train/n01770393/images/n01770393_460.JPEG,torch,triumphal arch,bannister,chimpanzee,train/n04486054/images/n04486054_180.JPEG,torch,suspension bridge,Christmas stocking,barrel
train/n02788148/images/n02788148_352.JPEG,hourglass,triumphal arch,tractor,snail,train/n02795169/images/n02795169_275.JPEG,snorkel,gasmask,scorpion,American lobster,train/n04366367/images/n04366367_238.JPEG,snorkel,gasmask,tractor,triumphal arch,train/n04465501/images/n04465501_267.JPEG,tailed frog,barrel,tabby,suspension bridge,train/n02788148/images/n02788148_17.JPEG,torch,scorpion,gazelle,Christmas stocking,train/n02795169/images/n02795169_352.JPEG,scorpion,chimpanzee,Persian cat,American lobster,train/n04366367/images/n04366367_316.JPEG,barrel,snail,snorkel,American lobster,train/n04366367/images/n04366367_160.JPEG,snorkel,gazelle,tabby,barrel,train/n02481823/images/n02481823_449.JPEG,iPod,Christmas stocking,Persian cat,snail,train/n04251144/images/n04251144_72.JPEG,Christmas stocking,tractor,tabby,gasmask
train/n02788148/images/n02788148_450.JPEG,hourglass,Christmas stocking,tailed frog,barrel,train/n01770393/images/n01770393_328.JPEG,triumphal arch,bannister,gazelle,gasmask,train/n02123394/images/n02123394_101.JPEG,snail,Persian cat,hourglass,gasmask,train/n01944390/images/n01944390_407.JPEG,Christmas stocking,tractor,gasmask,suspension bridge,train/n03424325/images/n03424325_144.JPEG,snail,tractor,gazelle,Persian cat,train/n04486054/images/n04486054_101.JPEG,tabby,snail,hourglass,Christmas stocking,train/n02123045/images/n02123045_378.JPEG,snail,scoreboard,hourglass,tractor,train/n04149813/images/n04149813_465.JPEG,tailed frog,tractor,snorkel,American lobster,train/n02423022/images/n02423022_288.JPEG,hourglass,torch,Persian cat,tabby,train/n04486054/images/n04486054_451.JPEG,Christmas stocking,snorkel,tractor,American lobster
train/n02423022/images/n02423022_257.JPEG,torch,gazelle,chimpanzee,Christmas stocking,train/n01944390/images/n01944390_428.JPEG,suspension bridge,gasmask,gazelle,tailed frog,train/n02423022/images/n02423022_227.JPEG,hourglass,tailed frog,scoreboard,bannister,train/n04251144/images/n04251144_326.JPEG,Persian cat,bannister,American lobster,chimpanzee,train/n01983481/images/n01983481_340.JPEG,snorkel,chimpanzee,torch,gasmask,train/n01644900/images/n01644900_173.JPEG,chimpanzee,barrel,tabby,hourglass,train/n03544143/images/n03544143_424.JPEG,tailed frog,scoreboard,gazelle,American lobster,train/n03424325/images/n03424325_118.JPEG,snorkel,scorpion,torch,gazelle,train/n01644900/images/n01644900_344.JPEG,iPod,American lobster,Persian cat,triumphal arch,train/n01644900/images/n01644900_340.JPEG,suspension bridge,torch,Christmas stocking,scoreboard
train/n01770393/images/n01770393_390.JPEG,bannister,torch,scorpion,hourglass,train/n04465501/images/n04465501_257.JPEG,suspension bridge,snail,scorpion,scoreboard,train/n04149813/images/n04149813_82.JPEG,iPod,scorpion,Persian cat,bannister,train/n01770393/images/n01770393_211.JPEG,gazelle,tractor,suspension bridge,scorpion,train/n03026506/images/n03026506_430.JPEG,tractor,American lobster,snorkel,scoreboard,train/n04149813/images/n04149813_30.JPEG,American lobster,barrel,Persian cat,snail,train/n02123045/images/n02123045_11.JPEG,barrel,triumphal arch,hourglass,tractor,train/n04251144/images/n04251144_168.JPEG,gazelle,scorpion,chimpanzee,triumphal arch,train/n02788148/images/n02788148_459.JPEG,hourglass,gasmask,barrel,American lobster,train/n04149813/images/n04149813_378.JPEG,scoreboard,hourglass,suspension bridge,scorpion
train/n03424325/images/n03424325_47.JPEG,snorkel,American lobster,Persian cat,scoreboard,train/n03026506/images/n03026506_339.JPEG,torch,chimpanzee,triumphal arch,tractor,train/n04366367/images/n04366367_233.JPEG,tabby,suspension bridge,snail,bannister,train/n02788148/images/n02788148_219.JPEG,chimpanzee,tailed frog,scoreboard,hourglass,train/n01644900/images/n01644900_457.JPEG,American lobster,snorkel,bannister,chimpanzee,train/n02481823/images/n02481823_29.JPEG,barrel,triumphal arch,tailed frog,Persian cat,train/n01644900/images/n01644900_288.JPEG,chimpanzee,barrel,triumphal arch,snail,train/n02795169/images/n02795169_179.JPEG,tailed frog,gasmask,tabby,Christmas stocking,train/n03544143/images/n03544143_66.JPEG,gazelle,chimpanzee,Christmas stocking,barrel,train/n02123045/images/n02123045_198.JPEG,tabby,scoreboard,Persian cat,snorkel
